turbine_num,code,time_on,time_off,duration,stop_cat,description
22,9,11/1/2015 0:03,11/1/2015 0:23,0 days 00:20:00.000000000,ok,description anonymised
21,93,11/1/2015 0:09,11/1/2015 0:10,0 days 00:01:02.000000000,ok,description anonymised
21,97,11/1/2015 0:10,11/1/2015 0:37,0 days 00:26:43.000000000,ok,description anonymised
22,165,11/1/2015 0:16,11/6/2015 5:03,5 days 04:46:56.000000000,ok,description anonymised
22,93,11/1/2015 0:23,11/1/2015 0:24,0 days 00:01:02.000000000,ok,description anonymised
22,97,11/1/2015 0:24,11/1/2015 0:26,0 days 00:01:13.000000000,ok,description anonymised
22,9,11/1/2015 0:26,11/1/2015 0:27,0 days 00:01:08.000000000,ok,description anonymised
22,93,11/1/2015 0:27,11/1/2015 0:28,0 days 00:01:02.000000000,ok,description anonymised
22,97,11/1/2015 0:28,11/1/2015 0:29,0 days 00:01:05.000000000,ok,description anonymised
22,9,11/1/2015 0:29,11/1/2015 0:32,0 days 00:02:54.000000000,ok,description anonymised
22,84,11/1/2015 0:32,11/1/2015 3:41,0 days 03:09:13.000000000,ok,description anonymised
21,9,11/1/2015 0:37,11/1/2015 0:40,0 days 00:03:13.000000000,ok,description anonymised
21,84,11/1/2015 0:40,11/1/2015 0:47,0 days 00:06:24.000000000,ok,description anonymised
21,9,11/1/2015 0:47,11/1/2015 1:07,0 days 00:20:00.000000000,ok,description anonymised
21,93,11/1/2015 1:07,11/1/2015 1:08,0 days 00:01:02.000000000,ok,description anonymised
21,97,11/1/2015 1:08,11/1/2015 1:14,0 days 00:06:04.000000000,ok,description anonymised
21,9,11/1/2015 1:14,11/1/2015 1:15,0 days 00:00:58.000000000,ok,description anonymised
21,93,11/1/2015 1:15,11/1/2015 1:16,0 days 00:00:57.000000000,ok,description anonymised
21,97,11/1/2015 1:16,11/1/2015 1:17,0 days 00:01:09.000000000,ok,description anonymised
21,9,11/1/2015 1:17,11/1/2015 1:18,0 days 00:01:00.000000000,ok,description anonymised
21,93,11/1/2015 1:18,11/1/2015 1:19,0 days 00:00:58.000000000,ok,description anonymised
21,97,11/1/2015 1:19,11/1/2015 1:39,0 days 00:20:05.000000000,ok,description anonymised
21,9,11/1/2015 1:39,11/1/2015 1:40,0 days 00:00:58.000000000,ok,description anonymised
21,93,11/1/2015 1:40,11/1/2015 1:41,0 days 00:00:58.000000000,ok,description anonymised
21,97,11/1/2015 1:41,11/1/2015 1:42,0 days 00:01:08.000000000,ok,description anonymised
21,9,11/1/2015 1:42,11/1/2015 1:43,0 days 00:01:00.000000000,ok,description anonymised
21,93,11/1/2015 1:43,11/1/2015 1:44,0 days 00:00:58.000000000,ok,description anonymised
21,97,11/1/2015 1:44,11/1/2015 1:46,0 days 00:02:22.000000000,ok,description anonymised
21,9,11/1/2015 1:46,11/1/2015 1:47,0 days 00:00:58.000000000,ok,description anonymised
21,93,11/1/2015 1:47,11/1/2015 1:48,0 days 00:00:58.000000000,ok,description anonymised
21,97,11/1/2015 1:48,11/1/2015 1:50,0 days 00:02:10.000000000,ok,description anonymised
21,9,11/1/2015 1:50,11/1/2015 1:51,0 days 00:00:58.000000000,ok,description anonymised
21,93,11/1/2015 1:51,11/1/2015 1:52,0 days 00:00:58.000000000,ok,description anonymised
21,97,11/1/2015 1:52,11/1/2015 1:53,0 days 00:01:03.000000000,ok,description anonymised
21,9,11/1/2015 1:53,11/1/2015 1:54,0 days 00:01:00.000000000,ok,description anonymised
21,93,11/1/2015 1:54,11/1/2015 1:55,0 days 00:00:59.000000000,ok,description anonymised
21,97,11/1/2015 1:55,11/1/2015 1:57,0 days 00:01:31.000000000,ok,description anonymised
21,9,11/1/2015 1:57,11/1/2015 2:00,0 days 00:03:05.000000000,ok,description anonymised
21,84,11/1/2015 2:00,11/1/2015 3:16,0 days 01:15:54.000000000,ok,description anonymised
21,9,11/1/2015 3:16,11/1/2015 3:36,0 days 00:20:00.000000000,ok,description anonymised
21,93,11/1/2015 3:36,11/1/2015 3:37,0 days 00:01:02.000000000,ok,description anonymised
21,97,11/1/2015 3:37,11/1/2015 5:55,0 days 02:18:18.000000000,ok,description anonymised
22,9,11/1/2015 3:41,11/1/2015 3:58,0 days 00:17:21.000000000,ok,description anonymised
22,84,11/1/2015 3:58,11/1/2015 6:16,0 days 02:18:04.000000000,ok,description anonymised
21,9,11/1/2015 5:55,11/1/2015 5:56,0 days 00:01:05.000000000,ok,description anonymised
21,93,11/1/2015 5:56,11/1/2015 5:57,0 days 00:01:00.000000000,ok,description anonymised
21,97,11/1/2015 5:57,11/1/2015 5:59,0 days 00:01:13.000000000,ok,description anonymised
21,9,11/1/2015 5:59,11/1/2015 6:00,0 days 00:01:03.000000000,ok,description anonymised
21,93,11/1/2015 6:00,11/1/2015 6:01,0 days 00:00:59.000000000,ok,description anonymised
21,97,11/1/2015 6:01,11/1/2015 6:02,0 days 00:01:49.000000000,ok,description anonymised
21,9,11/1/2015 6:02,11/1/2015 6:03,0 days 00:01:01.000000000,ok,description anonymised
21,93,11/1/2015 6:03,11/1/2015 6:04,0 days 00:00:59.000000000,ok,description anonymised
21,97,11/1/2015 6:04,11/1/2015 6:07,0 days 00:02:39.000000000,ok,description anonymised
21,9,11/1/2015 6:07,11/1/2015 6:08,0 days 00:01:00.000000000,ok,description anonymised
21,93,11/1/2015 6:08,11/1/2015 6:09,0 days 00:00:58.000000000,ok,description anonymised
21,97,11/1/2015 6:09,11/1/2015 6:13,0 days 00:04:12.000000000,ok,description anonymised
21,9,11/1/2015 6:13,11/1/2015 6:14,0 days 00:01:01.000000000,ok,description anonymised
21,93,11/1/2015 6:14,11/1/2015 6:15,0 days 00:00:59.000000000,ok,description anonymised
21,97,11/1/2015 6:15,11/1/2015 6:17,0 days 00:01:34.000000000,ok,description anonymised
22,9,11/1/2015 6:16,11/1/2015 6:20,0 days 00:03:21.000000000,ok,description anonymised
21,9,11/1/2015 6:17,11/1/2015 6:18,0 days 00:01:02.000000000,ok,description anonymised
21,93,11/1/2015 6:18,11/1/2015 6:19,0 days 00:00:59.000000000,ok,description anonymised
21,97,11/1/2015 6:19,11/1/2015 6:20,0 days 00:01:05.000000000,ok,description anonymised
22,84,11/1/2015 6:20,11/1/2015 7:37,0 days 01:16:49.000000000,ok,description anonymised
21,9,11/1/2015 6:20,11/1/2015 6:21,0 days 00:01:01.000000000,ok,description anonymised
21,93,11/1/2015 6:21,11/1/2015 6:22,0 days 00:00:59.000000000,ok,description anonymised
21,97,11/1/2015 6:22,11/1/2015 6:23,0 days 00:01:18.000000000,ok,description anonymised
21,9,11/1/2015 6:23,11/1/2015 6:26,0 days 00:03:01.000000000,ok,description anonymised
21,84,11/1/2015 6:26,11/1/2015 7:36,0 days 01:09:42.000000000,ok,description anonymised
21,9,11/1/2015 7:36,11/1/2015 7:56,0 days 00:20:00.000000000,ok,description anonymised
22,9,11/1/2015 7:37,11/1/2015 7:46,0 days 00:09:45.000000000,ok,description anonymised
22,84,11/1/2015 7:46,11/1/2015 7:55,0 days 00:08:33.000000000,ok,description anonymised
22,9,11/1/2015 7:55,11/1/2015 8:15,0 days 00:20:00.000000000,ok,description anonymised
21,93,11/1/2015 7:56,11/1/2015 7:57,0 days 00:01:02.000000000,ok,description anonymised
21,97,11/1/2015 7:57,11/1/2015 8:06,0 days 00:08:42.000000000,ok,description anonymised
21,9,11/1/2015 8:06,11/1/2015 8:07,0 days 00:01:01.000000000,ok,description anonymised
21,93,11/1/2015 8:07,11/1/2015 8:08,0 days 00:00:58.000000000,ok,description anonymised
21,97,11/1/2015 8:08,11/1/2015 8:20,0 days 00:12:31.000000000,ok,description anonymised
22,93,11/1/2015 8:15,11/1/2015 8:16,0 days 00:01:02.000000000,ok,description anonymised
22,97,11/1/2015 8:16,11/1/2015 8:20,0 days 00:03:55.000000000,ok,description anonymised
22,9,11/1/2015 8:20,11/1/2015 8:24,0 days 00:03:49.000000000,ok,description anonymised
21,9,11/1/2015 8:20,11/1/2015 8:21,0 days 00:01:00.000000000,ok,description anonymised
21,93,11/1/2015 8:21,11/1/2015 8:22,0 days 00:00:58.000000000,ok,description anonymised
21,97,11/1/2015 8:22,11/1/2015 8:23,0 days 00:01:01.000000000,ok,description anonymised
21,9,11/1/2015 8:23,11/1/2015 8:26,0 days 00:03:05.000000000,ok,description anonymised
22,84,11/1/2015 8:24,11/1/2015 8:57,0 days 00:33:02.000000000,ok,description anonymised
21,84,11/1/2015 8:26,11/1/2015 8:58,0 days 00:31:55.000000000,ok,description anonymised
22,9,11/1/2015 8:57,11/1/2015 9:09,0 days 00:12:27.000000000,ok,description anonymised
21,9,11/1/2015 8:58,11/1/2015 9:06,0 days 00:08:09.000000000,ok,description anonymised
21,84,11/1/2015 9:06,11/1/2015 9:25,0 days 00:18:45.000000000,ok,description anonymised
22,84,11/1/2015 9:09,11/1/2015 9:21,0 days 00:11:49.000000000,ok,description anonymised
22,9,11/1/2015 9:21,11/1/2015 9:32,0 days 00:10:47.000000000,ok,description anonymised
21,9,11/1/2015 9:25,11/1/2015 9:32,0 days 00:06:37.000000000,ok,description anonymised
21,84,11/1/2015 9:32,11/1/2015 11:00,0 days 01:28:30.000000000,ok,description anonymised
22,84,11/1/2015 9:32,11/1/2015 13:31,0 days 03:59:07.000000000,ok,description anonymised
21,9,11/1/2015 11:00,11/1/2015 11:05,0 days 00:04:52.000000000,ok,description anonymised
21,84,11/1/2015 11:05,11/1/2015 11:47,0 days 00:42:26.000000000,ok,description anonymised
21,9,11/1/2015 11:47,11/1/2015 12:02,0 days 00:14:18.000000000,ok,description anonymised
21,84,11/1/2015 12:02,11/1/2015 13:08,0 days 01:06:38.000000000,ok,description anonymised
21,9,11/1/2015 13:08,11/1/2015 13:28,0 days 00:19:30.000000000,ok,description anonymised
21,84,11/1/2015 13:28,11/1/2015 13:29,0 days 00:01:29.000000000,ok,description anonymised
21,9,11/1/2015 13:29,11/1/2015 13:49,0 days 00:20:00.000000000,ok,description anonymised
22,9,11/1/2015 13:31,11/1/2015 13:50,0 days 00:18:43.000000000,ok,description anonymised
21,93,11/1/2015 13:49,11/1/2015 13:50,0 days 00:01:02.000000000,ok,description anonymised
22,84,11/1/2015 13:50,11/1/2015 13:54,0 days 00:04:26.000000000,ok,description anonymised
21,97,11/1/2015 13:50,11/1/2015 14:10,0 days 00:20:02.000000000,ok,description anonymised
22,9,11/1/2015 13:54,11/1/2015 14:09,0 days 00:15:11.000000000,ok,description anonymised
22,84,11/1/2015 14:09,11/1/2015 21:04,0 days 06:54:42.000000000,ok,description anonymised
21,9,11/1/2015 14:10,11/1/2015 14:17,0 days 00:06:59.000000000,ok,description anonymised
21,84,11/1/2015 14:17,11/1/2015 17:20,0 days 03:02:30.000000000,ok,description anonymised
21,9,11/1/2015 17:20,11/1/2015 17:25,0 days 00:05:16.000000000,ok,description anonymised
21,84,11/1/2015 17:25,11/3/2015 3:05,1 days 09:39:53.000000000,ok,description anonymised
