time,turbine_num,wind_speed,kw,wind_speed_sd,wind_speed_max,torque_actual_value,blade_1_actual_angle,blade_2_actual_angle,blade_3_actual_angle,blade_1_2_act_angle_diff,blade_2_3_act_angle_diff,blade_3_1_act_angle_diff,ot,sot,dt,lot,wot,est,mt,rt,eect
11/1/2015 0:00,22,0.148473034,0.009655196,0.064692982,0.110283159,0.025785188,0.458179171,0.458418355,0.03611523,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 0:10,22,0.125081222,0.004961553,0.066885965,0.084016393,0.020162854,0.466428095,0.465186881,0.050518958,0,0,0,236,600,0,0,0,0,0,0,0
11/1/2015 0:20,22,0.121182586,0.004912842,0.060307018,0.086624441,0.020841411,0.473221326,0.470760962,0.062380852,0,0,0,0,600,0,0,0,0,0,0,0
11/1/2015 0:30,22,0.137751787,0.004453568,0.067982456,0.104321908,0.020841411,0.628919755,0.598516896,0.334251218,0,0,0,0,600,0,0,0,0,0,0,0
11/1/2015 0:40,22,0.171539961,0.040889322,0.066885965,0.113077496,0.075126018,0.460969248,0.460707709,0.040987079,0,0,0,460,600,0,0,0,0,0,0,0
11/1/2015 0:50,22,0.153996101,0.029560558,0.07127193,0.110655738,0.05661109,0.457330018,0.457721595,0.034632493,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 1:00,22,0.137102014,0.012556974,0.0625,0.100409836,0.030341218,0.458239825,0.458468123,0.03622114,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 1:10,22,0.142300195,0.013305035,0.067982456,0.094262295,0.031504459,0.458239825,0.458468123,0.03622114,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 1:20,22,0.153346329,0.021394524,0.064692982,0.098546945,0.043912369,0.458239825,0.458468123,0.03622114,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 1:30,22,0.155620533,0.022654048,0.066885965,0.099850969,0.045851105,0.458239825,0.458468123,0.03622114,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 1:40,22,0.165692008,0.035353676,0.064692982,0.122764531,0.065626212,0.458057864,0.458318817,0.03590341,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 1:50,22,0.181936322,0.04817856,0.0625,0.127980626,0.085498255,0.456177594,0.456775992,0.032620208,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 2:00,22,0.194606888,0.06418705,0.064692982,0.136177347,0.110217138,0.45326621,0.4543871,0.027536539,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 2:10,22,0.205003249,0.082951185,0.060307018,0.131520119,0.139395114,0.449081094,0.450953068,0.020228765,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 2:20,22,0.201104613,0.076904074,0.064692982,0.128912072,0.129992245,0.450536787,0.452147514,0.02266469,0,8.75E-05,8.94E-05,600,600,0,0,0,0,0,0,0
11/1/2015 2:30,22,0.20402859,0.082356216,0.061403509,0.13766766,0.13832881,0.44902044,0.4509033,0.020122855,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 2:40,22,0.197205978,0.076253436,0.064692982,0.123882265,0.12892594,0.450294171,0.45194844,0.02234696,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 2:50,22,0.191033138,0.06697053,0.063596491,0.133755589,0.114579294,0.452113787,0.453441497,0.025524253,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 3:00,22,0.184860299,0.060665948,0.061403509,0.130216095,0.104788678,0.453872748,0.454884786,0.028595637,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 3:10,22,0.177712801,0.058860165,0.065789474,0.114008942,0.101880574,0.453994056,0.454984323,0.028807456,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 3:20,22,0.155620533,0.028558505,0.074561404,0.10599851,0.055060101,0.457754595,0.458069975,0.035373861,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 3:30,22,0.142949968,0.013256324,0.064692982,0.102272727,0.031407522,0.458179171,0.458418355,0.03611523,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 3:40,22,0.133528265,0.005817473,0.063596491,0.086624441,0.019775107,0.458179171,0.458418355,0.03611523,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 3:50,22,0.123131904,0.004373543,0.064692982,0.089605067,0.019872043,0.473949172,0.471358184,0.063651769,0,0,0,94,600,0,0,0,0,0,0,0
11/1/2015 4:00,22,0.135152697,0.007473644,0.070175439,0.096870343,0.025009694,0.481591557,0.477629025,0.076996399,0,0,0,65,600,0,0,0,0,0,0,0
11/1/2015 4:10,22,0.147823262,0.019275599,0.064692982,0.106743666,0.040713455,0.458118518,0.458368586,0.03600932,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 4:20,22,0.142625081,0.012292544,0.070175439,0.10376304,0.029856534,0.458118518,0.458368586,0.03600932,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 4:30,22,0.145549058,0.023516927,0.064692982,0.091840537,0.04720822,0.458118518,0.458368586,0.03600932,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 4:40,22,0.149447693,0.018753697,0.065789474,0.101527571,0.03993796,0.458118518,0.458368586,0.03600932,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 4:50,22,0.149447693,0.019108591,0.064692982,0.110469449,0.040228771,0.458118518,0.458368586,0.03600932,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 5:00,22,0.155620533,0.031978706,0.063596491,0.106184799,0.060488561,0.458118518,0.458368586,0.03600932,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 5:10,22,0.151072125,0.02633868,0.067982456,0.103576751,0.051570376,0.458057864,0.458318817,0.03590341,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 5:20,22,0.151397011,0.027831321,0.069078947,0.102459016,0.053993796,0.458118518,0.458368586,0.03600932,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 5:30,22,0.156270305,0.033276504,0.067982456,0.104880775,0.062330361,0.458057864,0.458318817,0.03590341,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 5:40,22,0.151397011,0.024223235,0.061403509,0.107488823,0.048371462,0.458118518,0.458368586,0.03600932,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 5:50,22,0.153996101,0.026317804,0.0625,0.103949329,0.051473439,0.458118518,0.458368586,0.03600932,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 6:00,22,0.160168941,0.036881111,0.065789474,0.109538003,0.067952695,0.457754595,0.458069975,0.035373861,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 6:10,22,0.156270305,0.033641836,0.070175439,0.110655738,0.062911981,0.457754595,0.458069975,0.035373861,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 6:20,22,0.14100065,0.013120629,0.075657895,0.11009687,0.031892206,0.464365864,0.463494749,0.046918026,0,0,0,419,600,0,0,0,0,0,0,0
11/1/2015 6:30,22,0.16634178,0.04314742,0.066885965,0.110655738,0.078034122,0.45799721,0.458269049,0.035797501,0,0,0,581,600,0,0,0,0,0,0,0
11/1/2015 6:40,22,0.164067576,0.04223931,0.066885965,0.106557377,0.076386196,0.457148056,0.457572289,0.034314764,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 6:50,22,0.15497076,0.037507394,0.08004386,0.113077496,0.069019,0.457390671,0.457771363,0.034738403,0,0,0,600,600,0,0,0,0,0,0,0
