,Turbine_ID,Timestamp,Gen_RPM_Max,Gen_RPM_Min,Gen_RPM_Avg,Gen_RPM_Std,Gen_Bear_Temp_Avg,Gen_Phase1_Temp_Avg,Gen_Phase2_Temp_Avg,Gen_Phase3_Temp_Avg
176449,T06,2016-01-01T00:00:00+00:00,1270.0,1232.8,1248.5,6.8,42,51,52,53
1957,T06,2016-01-01T00:10:00+00:00,1429.7,203.9,1154.1,271.7,42,51,52,52
84192,T06,2016-01-01T00:20:00+00:00,1360.5,250.3,1041.4,382.7,42,50,51,51
129954,T06,2016-01-01T00:30:00+00:00,1399.2,1228.8,1252.5,16.5,42,49,50,50
23103,T06,2016-01-01T00:40:00+00:00,1302.7,1225.1,1257.6,13.4,41,50,50,51
31338,T06,2016-01-01T00:50:00+00:00,1298.7,1236.3,1257.9,10.8,41,50,51,51
167455,T06,2016-01-01T01:00:00+00:00,1332.0,1230.7,1259.3,17.1,42,50,51,52
59067,T06,2016-01-01T01:10:00+00:00,1271.1,1226.9,1250.3,7.7,42,50,51,52
140902,T06,2016-01-01T01:20:00+00:00,1298.6,1233.2,1255.5,13.1,42,51,51,52
64823,T06,2016-01-01T01:30:00+00:00,1280.9,1234.0,1251.2,7.4,42,51,52,52
176447,T06,2016-01-01T01:40:00+00:00,1270.8,1228.8,1249.7,7.4,42,51,52,52
84194,T06,2016-01-01T01:50:00+00:00,1260.5,1232.3,1249.1,5.0,42,51,52,52
73970,T06,2016-01-01T02:00:00+00:00,1267.9,1230.0,1249.6,5.2,42,51,52,53
73991,T06,2016-01-01T02:10:00+00:00,1259.4,82.1,904.1,478.0,42,51,52,53
140905,T06,2016-01-01T02:20:00+00:00,289.9,247.0,268.4,10.6,42,48,49,49
64831,T06,2016-01-01T02:30:00+00:00,275.8,242.4,257.3,10.3,41,46,47,47
140849,T06,2016-01-01T02:40:00+00:00,313.9,211.7,256.7,33.7,40,44,45,45
47743,T06,2016-01-01T02:50:00+00:00,1366.1,244.6,951.3,441.1,38,43,44,44
140848,T06,2016-01-01T03:00:00+00:00,1261.1,212.2,291.5,125.4,37,42,42,42
