,Unnamed: 0,Turbine_ID,Timestamp,Gen_RPM_Max,Gen_RPM_Min,Gen_RPM_Avg,Gen_RPM_Std,Gen_Bear_Temp_Avg,Gen_Phase1_Temp_Avg,Gen_Phase2_Temp_Avg,Gen_Phase3_Temp_Avg
33354,126564,T06,2016-09-01T00:00:00+00:00,1380.1,242.2,929.8,446.4,34,37,44,37
33355,132839,T06,2016-09-01T00:10:00+00:00,1349.3,1242.1,1269.5,20.0,35,40,45,40
33356,106634,T06,2016-09-01T00:20:00+00:00,1306.4,1239.5,1262.9,11.4,36,43,48,43
33357,152252,T06,2016-09-01T00:30:00+00:00,1517.3,1227.3,1263.6,43.5,38,46,51,45
33358,152254,T06,2016-09-01T00:40:00+00:00,1396.4,1229.8,1266.9,27.3,39,47,52,47
33359,45623,T06,2016-09-01T00:50:00+00:00,1610.3,1242.6,1399.5,105.9,41,49,52,48
33360,115300,T06,2016-09-01T01:00:00+00:00,1541.8,1244.2,1363.8,88.2,42,51,54,50
33361,106638,T06,2016-09-01T01:10:00+00:00,1601.6,1244.7,1336.2,94.6,43,53,55,51
33362,172085,T06,2016-09-01T01:20:00+00:00,1674.9,1288.1,1596.0,85.4,45,55,57,54
33363,132846,T06,2016-09-01T01:30:00+00:00,1673.1,1415.8,1587.3,55.6,46,59,60,57
33364,126569,T06,2016-09-01T01:40:00+00:00,1673.8,1422.1,1588.2,63.7,48,61,63,59
33365,152263,T06,2016-09-01T01:50:00+00:00,1672.1,1382.6,1530.0,67.0,49,62,64,60
33366,172088,T06,2016-09-01T02:00:00+00:00,1603.3,1291.7,1433.8,68.0,50,62,65,60
33367,198970,T06,2016-09-01T02:10:00+00:00,1584.5,1256.6,1366.6,82.7,50,62,65,59
33368,8008,T06,2016-09-01T02:20:00+00:00,1345.3,1235.7,1264.7,21.8,50,62,64,59
33369,76585,T06,2016-09-01T02:30:00+00:00,1283.7,1232.1,1254.8,8.6,49,61,63,58
33370,126580,T06,2016-09-01T02:40:00+00:00,1394.2,1238.9,1294.9,30.6,49,61,63,58
33371,172096,T06,2016-09-01T02:50:00+00:00,1604.9,1239.1,1422.2,115.0,49,60,63,58
33372,106647,T06,2016-09-01T03:00:00+00:00,1633.2,1388.7,1575.5,45.4,49,61,64,60
33373,132849,T06,2016-09-01T03:10:00+00:00,1650.5,1469.2,1570.8,41.5,49,62,65,60
33374,198975,T06,2016-09-01T03:20:00+00:00,1631.0,1340.8,1503.8,60.8,50,62,66,60
33375,152271,T06,2016-09-01T03:30:00+00:00,1651.4,1300.8,1500.9,74.8,50,62,66,60
33376,76591,T06,2016-09-01T03:40:00+00:00,1653.4,1323.7,1527.7,73.6,50,62,65,60
33377,8022,T06,2016-09-01T03:50:00+00:00,1646.1,1393.6,1589.8,42.9,50,63,66,61
33378,8024,T06,2016-09-01T04:00:00+00:00,1646.7,1467.7,1585.4,37.0,50,63,68,62
33379,106651,T06,2016-09-01T04:10:00+00:00,1597.8,1359.1,1481.0,59.9,51,63,68,60
33380,172111,T06,2016-09-01T04:20:00+00:00,1521.4,1367.2,1447.2,35.5,50,63,65,60
33381,106652,T06,2016-09-01T04:30:00+00:00,1507.7,1275.8,1380.9,53.3,50,63,64,60
33382,76594,T06,2016-09-01T04:40:00+00:00,1498.8,1263.2,1351.3,52.9,50,62,64,59
33383,132858,T06,2016-09-01T04:50:00+00:00,1658.6,1276.7,1491.8,93.8,49,62,63,59
33384,106654,T06,2016-09-01T05:00:00+00:00,1678.0,1536.1,1646.5,21.5,50,63,66,61
33385,106655,T06,2016-09-01T05:10:00+00:00,1679.0,1542.2,1644.7,31.8,50,66,68,63
33386,19081,T06,2016-09-01T05:20:00+00:00,1684.9,1582.5,1652.0,15.8,51,68,71,65
33387,198986,T06,2016-09-01T05:30:00+00:00,1685.1,1550.3,1653.7,21.2,52,69,73,66
33388,132863,T06,2016-09-01T05:40:00+00:00,1680.4,1352.4,1562.2,87.9,53,70,73,66
33389,152283,T06,2016-09-01T05:50:00+00:00,1672.8,1302.1,1484.4,76.5,53,68,71,65
33390,152285,T06,2016-09-01T06:00:00+00:00,1562.2,1354.7,1463.7,43.8,53,67,69,64
33391,106658,T06,2016-09-01T06:10:00+00:00,1524.7,1252.1,1376.8,71.8,53,67,68,63
33392,8044,T06,2016-09-01T06:20:00+00:00,1466.9,1237.3,1333.4,59.0,52,66,67,62
33393,152290,T06,2016-09-01T06:30:00+00:00,1516.0,1313.1,1402.8,45.2,52,65,66,62
33394,106659,T06,2016-09-01T06:40:00+00:00,1643.7,1387.2,1540.7,59.5,51,64,66,62
33395,8046,T06,2016-09-01T06:50:00+00:00,1671.3,1476.9,1610.3,43.2,51,65,67,63
33396,199007,T06,2016-09-01T07:00:00+00:00,1684.4,1613.1,1661.7,13.1,52,67,70,65
33397,172137,T06,2016-09-01T07:10:00+00:00,1684.1,1626.0,1660.4,11.3,52,71,73,67
33398,132870,T06,2016-09-01T07:20:00+00:00,1674.6,1593.3,1645.4,15.7,53,71,74,68
33399,106664,T06,2016-09-01T07:30:00+00:00,1678.6,1477.6,1617.1,43.1,54,71,74,68
33400,106666,T06,2016-09-01T07:40:00+00:00,1683.0,1561.0,1647.3,19.0,54,72,75,69
33401,132872,T06,2016-09-01T07:50:00+00:00,1674.9,1556.3,1643.5,19.2,55,72,75,69
33402,199013,T06,2016-09-01T08:00:00+00:00,1682.1,1554.9,1652.5,19.1,55,73,76,70
